WARD NO,AGE,GENDER,MONTHLY INCOME,VEHICLE OWNERSHIP,"IF HAVE, VEHICLE TYPE",NEAREST STOP DISTANCE (m),REGUALR TRAVEL DISTANCE (km),TRAVEL MODE FOR LESS THAN 5KM,REGULAR TRAVEL MODE,WORK,SHOPPING,SOCIAL LIFE
22,24,Male ,12000,No,,150,4,Walking,Laguna,Laguna,CNG,CNG
22,45,Male ,100000,Yes,Car,330,4.3,others,others,others,others,others
22,28,Male ,17000,No,,300,8,Walking,Bus,Bus,Rickshaw,CNG
22,52,Male ,200000,Yes,Car,200,12,others,others,others,others,others
22,22,Male ,7000,No,,200,7,Walking,Bus,Motorcycle,Rickshaw,Motorcycle
22,23,Male ,90000,No,,120,6,Rickshaw,Bus,Bus,CNG,CNG
22,42,Male ,50000,Yes,Car,300,10,others,others,others,others,others
22,20,Male ,60000,No,,500,5,Walking,Bus,Bus,CNG,CNG
22,36,Male ,32000,No,,800,8,Rickshaw,Bus,Bus,CNG,CNG
22,32,Male ,25000,No,,200,10,Rickshaw,CNG,Rickshaw,Rickshaw,Rickshaw
22,35,Female ,25000,No,,200,3,Rickshaw,Rickshaw,Rickshaw,CNG,CNG
22,38,Female ,22000,Yes,Car,300,4,others,others,others,others,others
22,28,Male ,16000,No,,240,5,Walking,Bus,Bus,CNG,CNG
22,24,Female ,12000,No,,200,2.7,Rickshaw,Bus,Bus,Rickshaw,CNG
22,45,Male ,20000,No,,430,3.4,Walking,Rickshaw,Rickshaw,Rickshaw,CNG
22,20,Female ,0,No,,200,5,Walking,Bus,Bus,CNG,CNG
22,25,Female ,16000,Yes,Car,200,6,others,others,others,Rickshaw,CNG
22,27,Female ,15000,No,,500,4,Rickshaw,Rickshaw,Rickshaw,Rickshaw,Rickshaw
22,31,Female ,20000,No,,300,5,others,Rickshaw,Rickshaw,CNG,CNG
22,32,Female ,25000,Yes,Car,400,8,others,others,others,others,others
22,27,Male ,20000,No,,400,2.9,Rickshaw,Bus,Bus,Rickshaw,Rickshaw
22,25,Female ,13000,Yes,Car,400,3.2,others,others,others,others,others
22,22,Female ,16000,No,,300,2.7,Rickshaw,Rickshaw,Rickshaw,Rickshaw,CNG
22,26,Male ,28000,Yes,Car,300,7,others,others,others,others,others
24,25,Male ,20000,No,,700,2,Rickshaw,Bus,Bus,CNG,CNG
24,28,Male ,50000,Yes,Motorcycle,500,1.7,Motorcycle,Motorcycle,Motorcycle,Motocyle,Motorcycle
24,31,Male ,20000,No,,230,4.8,Rickshaw,Motorcycle,Bus,CNG,CNG
24,35,Female ,16000,No,,300,3,others,others,Bus,Rickshaw,Rickshaw
24,22,Female ,12000,No,,400,1.5,Rickshaw,CNG,CNG,CNG,CNG
24,25,Male ,20000,No,,450,3,Rickshaw,Bus,Bus,Rickshaw,Rickshaw
24,36,Male ,25000,No,,200,4,Walking,Bus,Bus,CNG,CNG
24,30,Male ,25000,No,,820,5,Walking,Bus,Bus,Rickshaw,Rickshaw
24,42,Male ,35000,No,Motorcycle,340,4,Motorcycle,Motorcycle,Motorcycle,Motocyle,Motorcycle
24,37,Male ,30000,No,,300,7,Rickshaw,CNG,CNG,CNG,CNG
24,52,Male ,40000,No,,280,5.7,Rickshaw,CNG,CNG,CNG,CNG
24,44,Male ,60000,Yes,Motorcycle,150,3,Motorcycle,Motorcycle,Motorcycle,Motocyle,Motorcycle
24,28,Female ,18000,No,,200,5,Rickshaw,Rickshaw,Rickshaw,Rickshaw,Rickshaw
24,23,Female ,9000,No,,370,4,Walking,Rickshaw,Rickshaw,Rickshaw,Rickshaw
24,20,Female ,4000,No,,400,5,Walking,Rickshaw,Rickshaw,Rickshaw,Rickshaw
24,24,Male ,10000,No,,600,6,Rickshaw,Bus,Bus,Bus,Bus
24,33,Male ,240000,Yes,Car,700,5,others,others,others,others,others
24,27,Male ,15000,No,,100,8,Laguna,Bus,Bus,Bus,Bus
24,23,Male ,6000,No,,200,10,others,Bus,Bus,Bus,Bus
24,25,Male ,20000,Yes,Motorcycle,700,12,Motorcycle,Motorcycle,Motorcycle,Motocyle,Motorcycle
24,28,Male ,25000,No,,400,3,Rickshaw,CNG,CNG,CNG,CNG
24,32,Male ,20000,No,,600,3,Walking,CNG,CNG,CNG,CNG
24,20,Female ,12000,No,,200,2,others,Bus,Bus,Bus,Bus
24,22,Male ,9000,No,,500,6,Rickshaw,Bus,Bus,Bus,Bus
24,20,Female ,3000,No,,400,2.6,Walking,Bus,Bus,Bus,Bus
24,24,Male ,12000,No,,700,1.8,Walking,Bus,Bus,Bus,Bus
24,32,Male ,7000,No,,100,4,Rickshaw,Bus,Bus,Bus,Bus
24,24,Male ,15000,No,,300,3.2,others,Laguna,Laguna,Laguna,Laguna
24,25,Male ,15000,No,,400,5,Walking,Laguna,Laguna,Laguna,Laguna
24,26,Male ,20000,No,,200,4.6,Walking,Bus,Bus,Bus,Bus
24,25,Male ,220000,Yes,Car,400,5,others,others,others,others,others
10,56,Male,800000,Yes,Car,250,6,others,others,others,others,others
10,36,Male,40000,Yes,Motorcycle,100,2.3,Motorcycle,Motorcycle,Motorcycle,Motocyle,Motorcycle
10,27,Male,18000,No,,100,3.6,Rickshaw,Bus,Bus,CNG,CNG
10,25,Male,16000,No,,130,8,Laguna,Bus,Bus,CNG,Motorcycle
10,31,Male,25000,No,,250,8,Rickshaw,CNG,CNG,Rickshaw,CNG
10,27,Female ,15000,No,,100,10,Rickshaw,Bus,Bus,CNG,Rickshaw
10,31,Male,35000,Yes,Motorcycle,100,3,Motorcycle,Motorcycle,Motorcycle,Motocyle,Motorcycle
10,42,Male,70000,No,,150,4,Rickshaw,CNG,CNG,CNG,Rickshaw
10,24,Male,6000,No,,330,4.3,Rickshaw,CNG,CNG,CNG,CNG
10,35,Male,40000,Yes,Motorcycle,300,8,Motorcycle,Motorcycle,Motorcycle,Motocyle,Motorcycle
10,20,Female ,3000,No,,200,12,Rickshaw,Bus,Bus,Rickshaw,Motorcycle
10,38,Male,50000,Yes,Car,200,7,others,Car,Car,others,CNG
10,30,Male,32000,No,,120,6,Rickshaw,CNG,CNG,CNG,CNG
10,29,Male,25000,No,,300,10,Walking,CNG,CNG,CNG,Motorcycle
10,32,Male,22000,No,,500,5,Walking,CNG,CNG,CNG,Rickshaw
10,19,Male,2500,No,,800,8,Walking,Bus,Bus,Bus,Rickshaw
10,35,Male,50000,Yes,Car,200,10,others,others,others,others,others
10,22,Male,6000,No,,200,3,Walking,Bus,Bus,Bus,Bus
10,28,Male,15000,No,,300,4,Walking,Bus,Bus,Rickshaw,Motorcycle
10,24,Female ,8000,No,,240,5,Rickshaw,Bus,Bus,Bus,Bus
10,25,Male,15000,No,,200,2.7,Walking,Bus,Bus,Bus,Bus
10,40,Male,100000,Yes,Car,430,3.4,others,others,others,others,others
10,25,Male,22000,No,,200,5,Rickshaw,Bus,Bus,Rickshaw,CNG
10,27,Male,18000,No,,200,6,Rickshaw,Bus,Bus,Rickshaw,CNG
10,24,Male,20000,No,,500,4,Rickshaw,CNG,Bus,CNG,Bus
10,35,Male,60000,Yes,Motorcycle,300,5,Motorcycle,Motorcycle,Motorcycle,Motocyle,Motorcycle
10,22,Female ,7000,No,,400,8,Walking,Bus,Bus,Rickshaw,Bus
10,32,Male,70000,No,,400,2.9,Rickshaw,CNG,CNG,CNG,Bus
10,37,Male,50000,Yes,Motorcycle,400,3.2,Motorcycle,Motorcycle,Motorcycle,Motocyle,Motorcycle
10,25,Male,16000,No,,300,2.7,Walking,Bus,Bus,CNG,Laguna
10,42,Male,500000,Yes,Car,300,7,others,Car,others,others,others
31,26,Male ,15000,No,,700,2.3,Rickshaw,Laguna,Laguna,Rickshaw,others
31,27,Male ,20000,No,,500,3.6,Motorcycle,Bus,Bus,CNG,CNG
31,36,Male ,40000,No,,230,8,Rickshaw,CNG,CNG,CNG,CNG
31,48,Female ,1500000,Yes,Car,300,8,others,others,others,others,others
